event_id,event_date,phone_clock,event,category,effect_on_data,source
P0E-0001,unknown,unknown,Truck acquired with the vibration already present - 'Like this since I got it'.,prior_history,Owner's own words. Nothing fitted since can be the original cause.,owner_answers round 4; near [9]
P0E-0002,unknown,unknown,"Spark plugs replaced. Brand, part number and gap never stated by the owner - he answered the question with the outcome instead.",repair,"No change to the shake. The installed gap remains unknown, so the assistant's re-check-the-gap advice targets an unverified variable.",owner_answers round 4; near [9]
P0E-0003,unknown,unknown,"Injectors removed, cleaned and flow-tested; the intake manifold came off for the job.",repair,Shake 'exactly the same as before'. Manifold disturbed and refitted with no change.,owner_answers round 6; near [17]; round 7; near [18]; round 10; near [26]
P0E-0004,unknown,unknown,Throttle body removed from the manifold and cleaned by hand. The shop told the owner to drive 250 km for the relearn; the owner does not know whether a relearn was actually run.,repair,"'No change whatsoever'. The relearn status is unconfirmed, which weakens the adaptives-are-mature claim built on it.",owner_answers round 10; near [26]; round 11; near [27]
P0E-0005,unknown,unknown,O2 sensors 'cleaned' - the owner does not know what was done to them.,repair,Method unrecorded; leaves sensor condition open.,owner_answers round 10; near [26]
P0E-0006,unknown,unknown,"Battery disconnected and an idle relearn done, followed by about 300 km of driving. Whether the battery was also replaced was not stated; battery age unknown.",reset,Wiped stored and pending DTCs. Adaptives given about 300 km to relearn afterwards with no change in the symptom - a reset alone has therefore already been tried and failed.,owner_answers round 7; near [18]; round 8; near [22]
P0E-0007,unknown,unknown,Rear differential lubricant changed at some point - no date or distance given.,prior_history,Unrelated to the fault; recorded for completeness.,owner_answers round 8; near [22]
P0E-0008,2026-09-02,unknown,Truck sitting in a workshop with full tooling available at the time of the questioning.,measurement_milestone,"The window in which trims, misfire counters, permanent codes and a smoke test could have been read cheaply. No scan data was in fact captured during it.",owner_answers round 4; near [9]
P0E-0009,2026-09-02,unknown,Owner restricted the questioning to the fault only - 'Don't ask any questions not related to issue or diagnoses'.,measurement_milestone,"Ended the general due-maintenance audit. Belt, tensioner, idler and battery age were left permanently unknown as a result.",owner_answers round 8; near [22]
P0E-0010,unknown,unknown,Owner confirmed the DTC list was complete and no airbag lamp is lit.,measurement_milestone,Validates the code capture near [102] as untruncated and makes the restraint code historical.,owner_answers round 12; near [102]
P0E-0011,unknown,unknown,Owner confirmed he can record two short traces back to back for comparison.,measurement_milestone,Enabled the paired-channel capture method that the rest of the investigation relies on.,owner_answers round 13; near [112]
P0E-0012,unknown,unknown,Graph screen width established at about 15 seconds by timing the trace against the phone clock.,measurement_milestone,Fixes the time axis for every graph in the dataset. An earlier assumption of a 15-minute screen was wrong by a factor of 60 and had put the idle oscillation period in the wrong regime entirely.,owner_answers round 14; near [116]
