event_id,clock_start,clock_end,log,epoch,gear,condition,what_was_being_tested,finding_from_screenshots,source
N-01,22:24:01,23:04:00,2026-09-04 22-23-38.zip,pre_purge_valve,P,standstill idle warm ECT 81-83,baseline idle characterisation,"Hunt present. Screenshot-era figure was 30-53 rpm A/C off; the log gives median 10 s span 61-70 in this stretch.",CLAUDE.md RPM stability section
N-02,23:04:00,01:00:00,2026-09-04 22-23-38.zip,pre_purge_valve,P,standstill idle warm ECT 91-98,continued idle,"Amplitude roughly halves to median 31-41 and holds. Not noticed at the time; only visible once the night was binned.",this analysis
N-03,01:00:00,01:01:00,2026-09-04 22-23-38.zip,pre_purge_valve,P,warm idle 640 rpm after 3 h 06 m run time,long term trims have learned,"LTFT B1 +3.13 %, B2 +2.34 %. Bank asymmetry killed - one quantisation step apart.",CLAUDE.md 'Long term trims have LEARNED'
N-04,01:13:00,01:14:00,2026-09-04 22-23-38.zip,pre_purge_valve,P,warm idle,short and long term trim trading off,"STFT B1 walked 0 to -1.6 % over 70 s while LTFT held flat. Total correction unmoved at +3 %.",CLAUDE.md 'Trims trade off'
N-05,01:18:00,01:20:00,2026-09-04 22-23-38.zip,pre_purge_valve,P,idle then held ~2000 rpm then idle,the 2000 rpm load test,"LTFT B2 2.34 % at idle, 0 % at 2000 rpm, back to exactly 2.34 % on closing. Load-indexed cells, lean only at idle.",CLAUDE.md 'THE 2000 RPM LOAD TEST'
N-06,01:30:00,01:35:49,2026-09-04 22-23-38.zip,pre_purge_valve,P,idle then ~2000 rpm then idle,both banks confirmed,"Idle +3.13/+2.34, just off idle +0.78, 2000 rpm 0. The correction is a slope, not a step.",CLAUDE.md 'CONFIRMED BOTH BANKS'
N-07,01:35:50,03:09:41,none,during_repair,none,engine off,EVAP purge valve replaced and battery negative disconnected,"Both in one operation - the confound this project called in advance and later resolved against the valve.",CLAUDE.md 'ADAPTIVES WERE WIPED'
N-08,03:09:42,03:23:02,20260905_030915.csv.gz,post_purge_valve,P,standstill idle after the repair,first data on the new valve,"Adaptives wiped, so long term trim reads 0 and short term carries the whole correction.",CLAUDE.md 'PURGE VALVE REPLACED'
N-09,03:23:02,03:24:43,20260905_030915.csv.gz,post_purge_valve,D,standstill in gear,Park versus Drive,"Screenshots gave 15/13/18 rpm spans. Log gives median 14.8, mean 550.3, sd 4.37, same 3.0 s period.",CLAUDE.md 'PARK vs DRIVE'
N-10,03:24:52,03:30:15,20260905_030915.csv.gz,post_purge_valve,P,standstill in Park,Park versus Drive,"Screenshots gave 44/55/53/50. Log gives median 40.2, mean 652.1, sd 9.56, period 3.13 s. Spark lags rpm 0.10 s at r=-0.91.",CLAUDE.md 'PARK vs DRIVE' + this analysis
N-11,03:46:46,04:04:12,20260905_034051.csv.gz,post_purge_valve,D,driving,"deceleration fuel cut, then wide open throttle","Both banks pegged 29.38 AFR on overrun - injectors seal. WOT reached 96.47 % absolute load and 215 g/s with no plateau.",CLAUDE.md 'FUEL CUT TEST' and 'WIDE OPEN THROTTLE'
N-12,04:17:37,04:26:17,20260905_041723.csv.gz,post_purge_valve,D,driving then returning to standstill,after-drive reads,"Coolant 82-85 C in this stretch - the only other log with coolant in the low band.",this analysis
N-13,04:26:17,05:07:27,20260905_041723.csv.gz,post_purge_valve,P,standstill idle warm,"long idle - trims, purge, commanded air/fuel","LTFT -0.78 % both banks: the leak is closed. Hunt unchanged at 56/51/57/67/61. Commanded air/fuel leads rpm by 0.0-0.2 s.",CLAUDE.md 'THE LEAK IS CLOSED' + this analysis
N-14,04:36:00,04:40:00,none,post_purge_valve,P,engine idling,Mode 06 on-board test results,"Every test passed. Per-cylinder misfire EWMA zero on all six. NOT IN ANY LOG - Mode 06 is a separate service and Car Scanner does not record it.",CLAUDE.md 'MODE 06'
