session_id,session_date,phone_clock_start,phone_clock_end,graph_clock_start,graph_clock_end,gear,load,thermal,coolant_c,engine_run_time,channels_captured,n_screenshots,epoch,purpose,summary,source
P2S-001,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,unknown,unknown,unknown,Full multi-module DTC scan,1,pre_purge_valve,Read every module's stored codes,"Four codes, all Archive (inactive): U0422 (OBD-II + engine control unit), U0140 (OCS), B11D8(14) (RCM). Zero P-codes of any kind. Owner confirmed no airbag warning light and that the scan covered all modules.",[102];[103]
P2S-002,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,94,unknown,"Full live-data value list (~11 screenshots): STFT B1/B2, LTFT B1/B2, lambda, AFR, knock retard, timing advance, cam advance, throttle desired/actual, catalyst temps both banks, ECT, control module voltage, OBD module voltage, battery voltage, battery SoC, commanded evaporative purge, ethanol fuel percent, MAF, RPM, tyre pressures, A/C pressure, monitor status",11,pre_purge_valve,First live data of the project - snapshot of every supported channel at warm idle,"STFT B1 0.78-3.13 %, B2 0 %, LTFT 0.0 % both banks (probably un-relearned - 101 km / 3 warm-ups since clear), misfire monitor COMPLETED with DTC count 0, fuel system and catalyst monitors not completed, lambda 0.99, AFR 14.52, knock retard 0, timing 11.5 deg, cam at rest, throttle tracking within 0.27 deg, cat temps 458.9/458.9, ECT 94 C, charging 13.76-14.0 V, SoC 88 %, commanded purge 41 %, ethanol 16.08 %, MAF 2.93 g/s at 661 rpm, right front tyre 211.7 kPa.",[105];[107];[113];[122];[161];[165];[171]
P2S-003,2026-09-04,unknown,unknown,16:50,18:12,unknown,idle,warm,unknown,unknown,Engine RPM (single channel),6,pre_purge_valve,First rpm stability capture - intended as the bare-idle baseline,"Six windows, spans 68/76/64/81/75/78 rpm, mean 650-660, body of the trace 638-668. Owner revealed afterwards the A/C was ON, so this is loaded idle, not a baseline. Assistant's first reading of the x-axis as wall-clock produced a '4-5 minute period, normal' verdict that was later withdrawn.",[108];[109];[111];[112]
P2S-004,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM (single channel),5,pre_purge_valve,"Bare-idle rpm baseline with A/C off, for comparison against P2S-003","Five windows, spans 37/74/38/30/53 rpm around 650. One real load event: dip to 606-612 held briefly then overshoot to 680. Owner corrected the timebase here ('the data is not 15 minutes use mobile clock'), which converted the pattern into a 2.5-4 s rhythmic hunt with 4-6 cycles per ~15 s screen.",[115];[116];[117]
P2S-005,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Short term fuel % trim - Bank 1,8,pre_purge_valve,"Set A - does fuel trim move with rpm, and which leads","RPM avg 653 oscillating 40 rpm at 3.5-4 s. STFT B1 quantised in 0.78 % steps, never outside -1.56 to +1.56 %. Owner stated the gridlines are 5 seconds. App Avg values -0.92 to -0.17 recorded but inadmissible.",[125];[126]
P2S-006,2026-09-04,unknown,unknown,45:35,47:25,unknown,idle,warm,unknown,unknown,Engine RPM + Commanded evaporative purge,11,pre_purge_valve,Set B - is purge cycling in rhythm with the rpm,"Purge flat at 40.78 % stepping down one LSB at a time to 40.00 over about two minutes; y-axis spans only 0.38 % so the full-height 'spikes' are rounding flicker between the adjacent codes 40.39 and 40.78. RPM band 24-34 rpm around 650 on a ~3 s rhythm, rpm axis 618-703. Includes the three extra screenshots the owner sent to show a suspected jump to 47 % (it was the mm:ss time axis). This session also produced the proof that the app's Min/Avg/Max fields are session-cumulative.",[127];[128];[130];[131];[132];[133];[135];[136]
P2S-007,2026-09-04,unknown,unknown,53:43,55:14,unknown,idle,warm,unknown,unknown,Engine RPM + Throttle Position Actually,10,pre_purge_valve,"The discriminator - is the PCM moving the throttle, or is something disturbing the engine","Throttle dead flat, min = max, at 7.15-7.24 deg on wide axes (6.20-8.24) in four windows while rpm swung 634-675. Apparent movement in other windows is 0.1-0.2 deg of monotonic drift on a zoomed axis. One deliberate blip at 55:14: throttle 22.68 deg, rpm to 705, undershoot to 630, clean settle.",[137];[138]
P2S-008,2026-09-04,unknown,unknown,59:49,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Timing advance,7,pre_purge_valve,Is the PCM trimming idle with spark instead of air,"Spark advance oscillates 10-13.5 deg in rhythm with rpm on a real 9.5-13.5 axis. Transient at 59:49: rpm 723 -> timing 6 deg, then rpm 614 -> timing 15 deg. The PCM holds idle with spark, which is why the throttle sat still.",[139];[140]
P2S-009,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + Variable camshaft actual advance #1,6,pre_purge_valve,Is a cam phaser oscillating at idle and modulating torque,"Axis spans 0 to -0.06 deg - two adjacent quantisation steps. Phaser parked, does not move. Intake bank 1 only.",[144];[145]
P2S-010,2026-09-04,unknown,unknown,unknown,unknown,unknown,idle,warm,unknown,unknown,Engine RPM + MAF air flow rate,7,pre_purge_valve,"With the throttle static, does the air actually entering the engine vary",MAF ~3.01 g/s varying 0.05 g/s (~1.7 %) on a 2.97-3.08 axis while rpm swings 5.4 %. Essentially flat - consistent with choked flow through a fixed plate at idle.,[150];[151]
