obs_id,session_date,phone_clock,gear,load,thermal,observation,category,epoch,source
P0O-0001,2026-09-02,unknown,n/a,n/a,n/a,"Asked 'What are you ready to do on the truck?' with options of pulling scan data, cleaning the throttle body or setting up the logger, the owner selected 'Something else' - declining all three offered actions. Not a statement about the vehicle.",constraint,pre_purge_valve,owner_answers round 1; near [2]
P0O-0002,2026-09-02,unknown,unknown,idle,unknown,"DIRECT ANSWER: 'When is the shake worst, relative to engine temperature?' - 'Same cold and hot'. Owner's own words; part1 row P1O-0002 is the assistant's restatement of this.",symptom,pre_purge_valve,owner_answers round 2; near [7]
P0O-0003,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Has the check engine light ever come on since this started?' - 'Never, not once'.",vehicle_fact,pre_purge_valve,owner_answers round 2; near [7]
P0O-0004,2026-09-02,unknown,P,rpm_sweep,unknown,"DIRECT ANSWER: 'The unstable 1,000-2,000 rpm - can you reproduce it standing still?' - 'Yes, in Park standing still'. The 1,000-2,000 rpm instability was therefore owner-confirmed, correcting part1 row P1O-0014 which recorded it as an unconfirmed repo-carried claim. Note the owner is confirming reproducibility, not independently volunteering the rpm band - the band came from the question.",symptom,pre_purge_valve,owner_answers round 2; near [7]
P0O-0005,2026-09-02,unknown,P,idle,unknown,DIRECT ANSWER: 'What does turning the A/C on do to the shake at idle?' - 'No change at all'.,symptom,pre_purge_valve,owner_answers round 2; near [7]
P0O-0006,2026-09-02,unknown,P,rpm_sweep,unknown,"DIRECT ANSWER: 'Holding steady throttle in Park at ~1,500 rpm, does the tachometer needle actually move?' - 'Needle visibly wanders'.",symptom,pre_purge_valve,owner_answers round 3; near [8]
P0O-0007,2026-09-02,unknown,P,rpm_sweep,unknown,"DIRECT ANSWER: 'How does the shake behave as you sweep the rpm up in Park?' - 'Present everywhere, roughly equal'. SEE FLAG: sits directly against the previous round's answer that a 1,000-2,000 rpm band is specifically unstable. Both answers were given on the same day, one round apart.",symptom,pre_purge_valve,owner_answers round 3; near [8]
P0O-0008,2026-09-02,unknown,unknown,idle,unknown,"DIRECT ANSWER: 'Is there any noise with the shake, or is it silent vibration?' - 'Silent - just felt, not heard'. This is the earliest form of the description the owner expands at [35]; the assistant did not act on it until [35].",symptom,pre_purge_valve,owner_answers round 3; near [8]
P0O-0009,2026-09-02,unknown,P,idle,warm,"DIRECT ANSWER: 'What is the actual idle rpm in Park, warm, A/C off?' - 'Normal, around 650-750'.",symptom,pre_purge_valve,owner_answers round 3; near [8]
P0O-0010,2026-09-02,unknown,unknown,unknown,unknown,"DIRECT ANSWER: 'Has the truck ever run smoothly since you owned it, or has it always been like this?' - 'Like this since I got it'.",history,pre_purge_valve,owner_answers round 4; near [9]
P0O-0011,2026-09-02,unknown,driving,cruise,unknown,"DIRECT ANSWER: 'Under load on the road, does it pull normally?' - 'Pulls great with no vibration at all'.",symptom,pre_purge_valve,owner_answers round 4; near [9]
P0O-0012,2026-09-02,unknown,n/a,n/a,n/a,"NON-ANSWER: asked 'What spark plugs went in, and were they gapped?' the owner replied 'Replacing spark plugs never changed the chake behavior'. The brand, part number and gap were never stated. The assistant's later advice to re-check the installed gap therefore rests on no information about what was fitted.",history,pre_purge_valve,owner_answers round 4; near [9]
P0O-0013,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'What do you actually have on hand to test with?' - 'Currently the car in the workshop and they have all tools'. Sets the resource available at that moment: a workshop with full equipment, which is why the assistant pushed for trims and a smoke test to be done immediately.",constraint,pre_purge_valve,owner_answers round 4; near [9]
P0O-0014,2026-09-02,unknown,D,idle,unknown,HEDGE / REFUSAL TO COMMIT: asked what 'different pattern' actually means - how the D/R shake feels compared to the N/P one - the owner answered 'Let's keep this open we are not sure'. The character of the D/R shake was never established. Do not treat any later statement about D/R character as resting on owner testimony.,method_correction,pre_purge_valve,owner_answers round 5; near [12]
P0O-0015,2026-09-02,unknown,D,idle,unknown,"DIRECT ANSWER: 'Are D and R different from each other, or only different from N/P?' - 'D and R feel the same'. This is the sole evidentiary basis for the mounts-and-driveline elimination carried through the whole project.",symptom,pre_purge_valve,owner_answers round 5; near [12]
P0O-0016,2026-09-02,unknown,D,idle,unknown,"DIRECT ANSWER: 'In D or R at a standstill, does the tachometer needle move?' - 'Needle wanders in gear too'.",symptom,pre_purge_valve,owner_answers round 5; near [12]
P0O-0017,2026-09-02,unknown,D,idle,unknown,HEDGE ON SECOND-HAND DATA: 'How solid is your brother's observation?' - 'He felt it once or twice'. The D/R-shakes-differently report rests on one or two impressions by a third party.,method_correction,pre_purge_valve,owner_answers round 5; near [12]
P0O-0018,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Has the EGR valve ever been cleaned, replaced, or even removed for a look?' - 'Never touched'. Answered before either party knew the 3.7 Ti-VCT has no external EGR valve, so the answer is about a component that does not exist on this engine.",history,pre_purge_valve,owner_answers round 6; near [17]
P0O-0019,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Has the PCV valve, its hose and the elbow ever been replaced or inspected?' - 'Never inspected'.",history,pre_purge_valve,owner_answers round 6; near [17]
P0O-0020,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Has the intake manifold ever been off the engine - by you or anyone before you?' - 'Yes, during the injector clean'.",history,pre_purge_valve,owner_answers round 6; near [17]
P0O-0021,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Is the air intake factory, or has someone fitted an aftermarket one?' - 'Factory airbox and duct'.",vehicle_fact,pre_purge_valve,owner_answers round 6; near [17]
P0O-0022,2026-09-02,unknown,unknown,unknown,unknown,DIRECT ANSWER: 'Did the shake change in any way after the injector clean - when the manifold was off?' - 'Exactly the same as before'.,symptom_change,pre_purge_valve,owner_answers round 7; near [18]
P0O-0023,2026-09-02,unknown,n/a,n/a,n/a,DIRECT ANSWER: 'Has the battery been disconnected or replaced - and was an idle relearn done afterward?' - 'Disconnect and drove about 300km and relearn done'. Note the answer does not say whether the battery was also replaced.,history,pre_purge_valve,owner_answers round 7; near [18]
P0O-0024,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'What fuel goes in it, and from where?' - 'Always 95, same station'.",vehicle_fact,pre_purge_valve,owner_answers round 7; near [18]
P0O-0025,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Any sign of previous engine work, or an aftermarket tuner ever plugged into it?' - 'No evidence of either'. Note this is absence of evidence as observed by the owner, not a documented history.",vehicle_fact,pre_purge_valve,owner_answers round 7; near [18]
P0O-0026,2026-09-02,unknown,n/a,n/a,n/a,"OWNER CONSTRAINT ON SCOPE: asked about brake fluid changes and moisture testing, the owner replied 'Don't ask any questions not related to issue or diagnoses'. This ended the general due-maintenance audit; the assistant dropped it at [23].",constraint,pre_purge_valve,owner_answers round 8; near [22]
P0O-0027,2026-09-02,unknown,n/a,n/a,n/a,"VAGUE ANSWER: 'Rear differential lubricant - ever changed?' - 'Changed at some point'. No date, no distance.",history,pre_purge_valve,owner_answers round 8; near [22]
P0O-0028,2026-09-02,unknown,n/a,n/a,n/a,"UNKNOWN: 'Serpentine belt, tensioner and idler pulleys - replaced or inspected?' - 'Don't know'. Belt-driven accessory bearings were eliminated elsewhere on the reasoning that they cannot move a tach needle, NOT on any inspection - nothing is known about their condition.",history,pre_purge_valve,owner_answers round 8; near [22]
P0O-0029,2026-09-02,unknown,n/a,n/a,n/a,"UNKNOWN: 'The battery - how old is it?' - 'Don't know'. Battery age was never established, and the charging/voltage questions raised later in the project run on top of this gap.",history,pre_purge_valve,owner_answers round 8; near [22]
P0O-0030,2026-09-02,unknown,unknown,unknown,warm,"DIRECT ANSWER: 'Does the temperature gauge come up to normal and stay there?' - 'Comes up normally, stays there'.",vehicle_fact,pre_purge_valve,owner_answers round 9; near [23]
P0O-0031,2026-09-02,unknown,n/a,n/a,n/a,HEDGED ANSWER: 'What oil viscosity is in it now?' - '5W-30 or similar'. The project treats 5W-30 as established; the owner did not state it with certainty.,vehicle_fact,pre_purge_valve,owner_answers round 9; near [23]
P0O-0032,2026-09-02,unknown,n/a,n/a,n/a,DIRECT ANSWER: 'Does it use or lose coolant?' - 'Level stays steady'.,vehicle_fact,pre_purge_valve,owner_answers round 9; near [23]
P0O-0033,2026-09-02,unknown,n/a,n/a,n/a,"CORRECTION OF THE PROJECT RECORD, IN THE OWNER'S OWN WORDS: asked to 'confirm it has genuinely never been cleaned or replaced', the owner answered that the throttle body was 'Cleaned at some point'. CLAUDE.md had it as never cleaned and as the top unexplored lead.",method_correction,pre_purge_valve,owner_answers round 10; near [26]
P0O-0034,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'The EVAP purge valve and canister - ever inspected, tested or replaced?' - 'Never touched'. This is the answer that promoted the purge valve, which was eventually the one repair that moved the symptom.",history,pre_purge_valve,owner_answers round 10; near [26]
P0O-0035,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'How was the injector clean actually performed?' - 'Removed, cleaned and flow-tested'.",history,pre_purge_valve,owner_answers round 10; near [26]
P0O-0036,2026-09-02,unknown,n/a,n/a,n/a,"UNKNOWN: 'What was actually done to the O2 sensors when they were cleaned?' - 'Don't know what they did'. The method is unrecorded, which is why the sensors stayed an open item until the deceleration fuel-cut tests much later.",history,pre_purge_valve,owner_answers round 10; near [26]
P0O-0037,2026-09-02,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'How was the throttle body cleaned?' - 'Removed from the manifold, cleaned by hand'. This is what upgraded the throttle body from a cheap unexplored lead to a properly conducted negative test.",history,pre_purge_valve,owner_answers round 11; near [27]
P0O-0038,2026-09-02,unknown,unknown,idle,unknown,DIRECT ANSWER: 'Did the shake change at all after the throttle body was cleaned?' - 'No change whatsoever'.,symptom_change,pre_purge_valve,owner_answers round 11; near [27]
P0O-0039,2026-09-02,unknown,n/a,n/a,n/a,HEDGED ANSWER: 'Was an idle relearn run after that cleaning?' - 'I don't know they said drive it 250km and it will relearn'. The owner does not know whether any relearn was performed; 250 km is what the shop told him. The assistant at [28] called this 'a legitimate drive-cycle relearn' and concluded the adaptives were mature - that conclusion is stronger than the answer supports.,method_correction,pre_purge_valve,owner_answers round 11; near [27]
P0O-0040,unknown,unknown,n/a,key_on_engine_off,unknown,"DIRECT ANSWER: 'Is the airbag / restraint warning light on in the cluster?' - 'No light, cluster normal'.",vehicle_fact,pre_purge_valve,owner_answers round 12; near [102]
P0O-0041,unknown,unknown,n/a,n/a,n/a,"DIRECT ANSWER: 'Was that the complete code list, or is there more above or below?' - 'That is everything'. Confirms the DTC screenshot was not truncated.",vehicle_fact,pre_purge_valve,owner_answers round 12; near [102]
P0O-0042,unknown,unknown,unknown,idle,unknown,"HEDGE: 'Was the A/C also on during the earlier All sensors scan - the one showing 661 rpm and the fuel trims?' - 'Not sure'. THE A/C STATE DURING THAT LIVE-DATA SCAN IS UNKNOWN AND CANNOT BE RECOVERED. Any reading from that scan must carry ac=unknown. The 661 rpm figure appears in the question, not the answer - the scan itself belongs to another part.",method_correction,pre_purge_valve,owner_answers round 13; near [112]
P0O-0043,unknown,unknown,unknown,idle,unknown,"DIRECT ANSWER: 'Does the A/C actually blow cold?' - 'Yes, cools properly'. The compressor is doing real work when it is on, so A/C-on traces represent a genuine load.",vehicle_fact,pre_purge_valve,owner_answers round 13; near [112]
P0O-0044,unknown,unknown,unknown,idle,unknown,"CAPABILITY CONFIRMED: 'Can you record two short traces back to back for comparison?' - 'Yes, I can do that'. Established that paired, same-session captures were possible, which is what the whole later paired-graph method depends on.",constraint,pre_purge_valve,owner_answers round 13; near [112]
P0O-0045,unknown,unknown,n/a,n/a,n/a,"THE MEASUREMENT THAT SETS THE TIME AXIS: 'How long does the trace take to travel the full width of the graph, timed against your phone clock?' - 'About 15 seconds'. Every period, cycle count and oscillation frequency in this dataset depends on this one owner measurement. It is approximate and was made by eye against a phone clock.",method_correction,pre_purge_valve,owner_answers round 14; near [116]
P0O-0046,unknown,unknown,unknown,idle,unknown,"DIRECT ANSWER: 'When you watch the live tachometer needle in the cab, what does it actually do?' - 'Visibly breathes up and down'. Owner confirmation of the rhythmic hunt from the seat, independent of the scan app.",symptom,pre_purge_valve,owner_answers round 14; near [116]
