session_id,session_date,phone_clock_start,phone_clock_end,graph_clock_start,graph_clock_end,gear,load,thermal,coolant_c,engine_run_time,channels_captured,n_screenshots,epoch,purpose,summary,source
P3S-001,2026-09-04,10:26,10:33,unknown,unknown,unknown,idle,warm,unknown,about 37 min idling,"Vehicle Battery Voltage; Vehicle Battery Current; Battery SoC; Short term fuel % trim - Bank 1; Short term fuel % trim - Bank 2; Catalyst temperature Bank 1 Sensor 1; Catalyst temperature Bank 2 Sensor 1; Knock retard; Barometric pressure; Manifold absolute pressure (high resolution); Absolute pedal position D; Absolute pedal position E; PCM Odometer; ATF temperature; Ambient air temperature; Intake air temperature; Gear (AT); Monitor status since DTCs cleared.; Throttle position; Throttle Position Actually",11,pre_purge_valve,"Value-read screens shared to record exact scanner sensor names, plus a monitor-status block","Owner corrected the assistant that these were OLD screenshots from an earlier session and must not be compared with the 12:48-12:51 graph session. Settled: knock retard 0, both catalyst temps 458.9 C, baro and high-res MAP blank, odometer 131313 km. Monitor block showed Fuel System, Catalyst and Oxygen Sensor all Not completed, which cancelled the Mode 06 plan until after a drive. Gear (AT) read 1 and the assistant's question about whether the truck was in Park was never answered.",[182];[183];[185];[186];[187];[188];[190]
P3S-002,2026-09-04,01:00,01:01,unknown,unknown,unknown,idle,warm,unknown,3:06:10,"Long term fuel % trim - Bank 1; Long term fuel % trim - Bank 2; Oxygen sensor 2 Bank 1 Voltage; Oxygen sensor 2 Bank 2 Voltage; Vehicle Battery Voltage; Vehicle Battery Current; Battery SoC; Run time since engine start",11,pre_purge_valve,Read the long term trims after three hours of run time to settle whether they had learned,"Long term trims had finally learned: +3.13 B1 and +2.34 B2, 0.79 percent apart which is one quantisation step. That killed the bank-asymmetry family of theories. Battery SoC had risen 88 to 90 percent with current at 0 A, closing the charging question. Owner instructed the assistant to stop looking at the battery.",[191];[192];[194];[195]
P3S-003,2026-09-04,01:13,01:13,45:35,46:43,unknown,idle,warm,unknown,unknown,STFT B1 paired with LTFT - B2,4,pre_purge_valve,Warm idle graph capture while the owner prepared for the 2000 rpm test,"LTFT - B2 flat at 2.34 with min = max = average across 70 s while STFT B1 walked steadily from about 0 to -1.6. Assistant used this to state the rule that short term and long term trim are two halves of one total and must always be captured on the same bank.",[195];[196]
P3S-004,2026-09-04,unknown,unknown,50:57,53:45,P,idle then 2000rpm then idle,warm,unknown,unknown,STFT B1 paired with LTFT - B2,13,pre_purge_valve,The 2000 rpm load test - separate a fixed vacuum leak from a proportional airflow calibration error,"LTFT - B2 held 2.34 at idle, stepped to 0.00 flat for 2 min 28 s at about 2000 rpm, and returned to exactly 2.34 the instant the throttle closed. Assistant read this as the PCM switching between two learned load cells, i.e. lean only at idle, i.e. a vacuum leak. STFT B1 spiked +9.38 on tip-in and -11.72 on overrun but was explicitly declared uninterpretable (wrong pairing, rpm unrecorded). Outstanding caveat: the 0 percent cell may be un-learned rather than learned.",[198];[199];[200]
P3S-005,2026-09-04,unknown,unknown,unknown,unknown,P,idle then 2000rpm then idle,warm,98,unknown,LTFT - B1 paired with LTFT - B2,13,pre_purge_valve,Repeat the 2000 rpm test with both banks' long term trim on one screen,"Both banks confirmed: idle +3.13 / +2.34, about 2000 rpm 0 / 0 for 2 min 7 s, idle again 3.12 / 2.34 with min = avg = max. During the hold bank 1 kept flicking to 0.78 (bank 2 less often) as rpm wandered into neighbouring cells, which the assistant read as a smooth gradient rather than a step - the behaviour of a fixed-size opening. Owner reported he could not hold 2000 rpm steady because something kept moving it.",[201];[202]
P3S-006,2026-09-05,unknown,unknown,unknown,unknown,P,idle,warm,unknown,unknown,Short term and Long term fuel % trim Bank 1 and Bank 2,7,post_purge_valve_pre_drive,"First capture after the new purge valve, before any drive - catch short term trim correcting against a stale long term memory","Both long terms read 0 flat and both short terms read negative (B1 -1.5 to -2.0, B2 -0.8 to -1.8). Assistant first read the zeros as learned, then had to withdraw it when the owner revealed the battery had been disconnected and bridged - the KAM was wiped, so 0 is a default. The live total swung about 4.6 points from +3.1 to -1.5 and that survives the wipe.",[212];[213];[216];[217]
P3S-007,2026-09-05,unknown,unknown,unknown,unknown,D,idle,warm,unknown,unknown,Short term and Long term fuel % trim Bank 1 and Bank 2,8,post_purge_valve_pre_drive,"Same channels in Drive at a standstill - the truck now shakes in P and not in D, so this is its own control","Drive short terms sat at about +0.3 and +0.4 against Park's -1.5 and -1.3. Both banks moved the same way by the same amount, about 1.8 points. Assistant read the Park richness as the new purge valve delivering real fuel vapour from a canister the old valve had kept scavenged dry, and called the gap far too small to shake anything.",[214];[215]
P3S-008,2026-09-05,unknown,unknown,14:08,15:12,D,idle,warm,unknown,unknown,Engine RPM paired with Tim. adv.,4,post_purge_valve_pre_drive,The rpm hunt measured in Drive at a standstill,"Idle about 550 rpm with spans of 15, 13 and 18 rpm and no clear rhythm; timing 11-15 deg, about 2 deg of swing. One transient to 584 rpm at graph clock 15:03 with timing pulled from 13 to 8.5 deg. Assistant refused to compare this against the pre-valve Park figures because two variables had changed, and asked for a Park capture in the same session.",[219];[220]
P3S-009,2026-09-05,03:23,03:25,unknown,16:18,P,idle,warm,unknown,unknown,Engine RPM paired with Tim. adv.,5,post_purge_valve_pre_drive,The same capture in Park minutes later - the first clean within-vehicle Park versus Drive comparison,"Idle about 650 rpm with spans of 44, 55, 53 and 50 rpm, a clean regular repeating shape with a period of about 3.4-3.5 s (four humps per screen), and timing swinging 11.5-16 deg. Three times the span seen in Drive. Assistant concluded the hunt and the shake were one thing, then withdrew that in the next exchange when the owner said the shake moves him in the seat.",[221];[222];[223];[257]
P3S-010,2026-09-05,unknown,unknown,8:36,9:41,driving,coast then overrun,warm,unknown,unknown,Engine RPM paired with O2S1 air:fuel,5,post_drive,Deceleration fuel cut test on bank 1 - a leaking injector test done on the engine under real vacuum,"Coasting 100 to 30 km/h. O2S1 air:fuel jumped from the closed-loop 13.5-15.8 band to 29.38 the instant the throttle closed and stayed dead flat (min = avg = max) across three windows from about 1850 rpm down to 843. Eliminated a leaking bank 1 injector and proved the bank 1 upstream sensor full-range and fast.",[232];[233];[238]
