reading_id,session_date,phone_clock,graph_clock,capture_type,channel_graph_header,channel_list_label,paired_with,gear,load,thermal,coolant_c,ac,rpm_at_capture,value,value_min,value_max,span,units,reading_method,admissible,epoch,notes,source
PART3-0001,2026-09-04,10:26-10:33,unknown,value_read,unknown,Vehicle Battery Voltage,unknown,unknown,idle,warm,unknown,unknown,unknown,13.8,unknown,unknown,unknown,V,value_read,yes,pre_purge_valve,"BCM reading; assistant read it as Ford smart charging, not a failed alternator",[183];[186]
PART3-0002,2026-09-04,10:26-10:33,unknown,value_read,unknown,Vehicle Battery Current,unknown,unknown,idle,warm,unknown,unknown,unknown,1,unknown,unknown,unknown,A,value_read,yes,pre_purge_valve,1 A going into a battery at 88 percent SoC,[183];[186]
PART3-0003,2026-09-04,10:26-10:33,unknown,value_read,unknown,Battery SoC,unknown,unknown,idle,warm,unknown,unknown,unknown,88,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,unknown,[183];[186]
PART3-0004,2026-09-04,10:31,unknown,value_read,unknown,Short term fuel % trim - Bank 1,PART3-0005,unknown,idle,warm,unknown,unknown,unknown,0.78,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,First of two screens taken seconds apart at 10:31; assistant later noted this session cannot be compared with the 12:48-12:51 graph session,[183];[186]
PART3-0005,2026-09-04,10:31,unknown,value_read,unknown,Short term fuel % trim - Bank 2,PART3-0004,unknown,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,First of two screens taken seconds apart at 10:31,[183];[186]
PART3-0006,2026-09-04,10:31,unknown,value_read,unknown,Short term fuel % trim - Bank 1,unknown,unknown,idle,warm,unknown,unknown,unknown,3.13,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Second screen seconds later; assistant used this to walk back the claimed bank offset,[183];[186]
PART3-0007,2026-09-04,10:26-10:33,unknown,value_read,unknown,Catalyst temperature Bank 1 Sensor 1,PART3-0008,unknown,idle,warm,unknown,unknown,unknown,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Identical to bank 2,[183];[187]
PART3-0008,2026-09-04,10:26-10:33,unknown,value_read,unknown,Catalyst temperature Bank 2 Sensor 1,PART3-0007,unknown,idle,warm,unknown,unknown,unknown,458.9,unknown,unknown,unknown,degC,value_read,yes,pre_purge_valve,Identical to bank 1,[183];[187]
PART3-0009,2026-09-04,10:26-10:33,unknown,value_read,unknown,Knock retard,unknown,unknown,idle,warm,unknown,unknown,unknown,0,unknown,unknown,unknown,deg,value_read,yes,pre_purge_valve,No knock; assistant removed it from the graphing list,[183];[187]
PART3-0010,2026-09-04,10:26-10:33,unknown,value_read,unknown,Barometric pressure,unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,kPa,value_read,no,pre_purge_valve,Channel returns blank on this vehicle - not supported,[183];[187];[190]
PART3-0011,2026-09-04,10:26-10:33,unknown,value_read,unknown,Manifold absolute pressure (high resolution),unknown,unknown,idle,warm,unknown,unknown,unknown,blank,unknown,unknown,unknown,kPa,value_read,no,pre_purge_valve,Channel returns blank on this vehicle - not supported,[183];[187];[190]
PART3-0012,2026-09-04,10:26-10:33,unknown,value_read,unknown,Absolute pedal position D,PART3-0013,unknown,idle,warm,unknown,unknown,unknown,14.9,unknown,unknown,unknown,%,value_read,yes,pre_purge_valve,Foot off the pedal - normal resting value,[183];[187]
