elim_id,item,verdict,evidence,confidence,date,epoch,source
E-001,"Fuel delivery - pump, filter, fuel pressure",eliminated,Truck pulls great under load; these components fail under load first. Later proven directly: 12.3:1 commanded and delivered at wide open throttle.,inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; [10];[15]
E-002,"Compression, valves, cam timing, phasers stuck in a fixed wrong position",eliminated,"All worsen under load, and the truck is flawless under road load. The elimination was explicitly noted as NOT covering a phaser or VCT solenoid misbehaving at idle.",inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'Why suspect 3 was previously eliminated'
E-003,"Ignition - spark plugs, coils, boots",eliminated,Plugs were replaced with no change; ignition faults bite under load and this truck has none.,inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'
E-004,"Engine mounts, harmonic damper, flexplate, driveline, exhaust contact",eliminated,"Symptom reproduces at a standstill in Park; D and R feel identical to each other, and nothing mechanical moves a tachometer needle.",inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'The better mount test'
E-005,Engine mounts - loss of hydraulic damping,reopened,"The D-versus-R test only rules out torque-reaction faults; a mount that has lost its fluid is not direction-dependent, so that test is blind to it. Engine rocks on its mounts at 8-15 Hz at idle; first order at 650 rpm is 10.8 Hz, dead centre of that band. Converter drag in gear preloads the engine and changes the mode.",inferred,2026-09-05,post_drive,docs/f150-diagnosis.md 'This un-eliminates the mounts'; CLAUDE.md; [225];[247]
E-006,Flexplate / crank pulley / rotational imbalance as a direct driver,eliminated,"The rpm sweep in Park did not grow continuously with rpm, which is what imbalance driving the cab directly would do.",reported,2026-09-05,post_drive,[246];[247]; CLAUDE.md rpm-sweep table
E-007,Harmonic balancer (crank pulley damper),suspect,"Twelve years of Jeddah heat degrades the rubber bonding the outer ring to the hub; a failed one produces first-order vibration, which is what the rpm sweep points at. Never inspected. Check concentricity engine-off, then watch it spin at idle with a light or timing light.",assumed,2026-09-05,post_drive,[247];[252];[255]
E-008,"Contact point - exhaust pipe, A/C line, power steering line, transmission cooler line, wiring loom, heat shield touching frame or cab",suspect,"Shifting into gear rotates the engine slightly and a part that merely touches at rest breaks contact. Gives strong in P, gone in D, felt not heard, invisible to every sensor, present since purchase, unaffected by six repairs. Never searched for.",assumed,2026-09-05,post_drive,docs/f150-diagnosis.md 'Second candidate ... contact'; CLAUDE.md; [225];[226]
E-009,Tyres and wheel balance,eliminated,Symptom reproduces at a standstill in Park.,inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'The better mount test'
E-010,Driveshaft and U-joints,eliminated,Symptom reproduces at a standstill in Park.,inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'The better mount test'
E-011,Oxygen sensors as the ROOT CAUSE of the shake,eliminated,"The symptom is identical cold, where the PCM runs open loop and ignores the sensors entirely.",inferred,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'Concern: the oxygen sensors'
E-012,MAF / air metering calibration error,eliminated,"Factory airbox and duct, no oiled aftermarket filter, so MAF calibration is as Ford intended.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'Also established'
E-013,Fuel quality or octane,eliminated,"Always 95 octane from the same station, and the symptom is utterly constant.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'
E-014,Aftermarket PCM tune,eliminated,Never tuned; no evidence of prior engine work.,reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'
E-015,Unlearned adaptive memory / young adaptives,eliminated,The owner performed a relearn and drove 300 km with no change to the symptom - 'i did relearn and drove 300km before this wipe and it didn't solve it'.,reported,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Withdrawn: the adaptives hypothesis'; [143];[146]
E-016,Intake manifold gasket disturbed during the injector job,eliminated,The manifold was removed and refitted with ZERO change to the symptom.,reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'
E-017,Throttle body carbon,eliminated,"Removed from the manifold and hand-cleaned properly, with no change. (Corrected from an earlier repo assumption that it had never been cleaned - the owner called that out.)",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; [26];[173] error 5
E-018,Fuel injectors - flow and spray pattern,eliminated,"Removed, cleaned and flow-tested on a bench during earlier work.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; [27]
E-019,Thermostat / warm-up enrichment,eliminated,"Thermostat reaches and holds normal temperature (ECT 93-94 C warm, 98 C after three hours idling), so the PCM does exit warm-up enrichment.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'Live data'
E-020,Coolant intrusion / internal timing-chain-driven water pump,cleared,"Coolant level steady, no loss. Standing instruction: if coolant ever disappears with no external leak, check the oil before chasing anything else.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'; 'Note on this engine'
E-021,Idle air control / low idle speed,eliminated,"Idle normal at 650-750 rpm warm in Park, and no change with A/C load.",measured,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Elimination record'
E-022,External EGR valve stuck or leaking,eliminated,"This engine has no external EGR valve - the 3.7 Ti-VCT uses twin independent cam phasing for internal EGR through valve overlap. RockAuto's catalogue is consistent: the 2014 3.5L EcoBoost lists an EGR valve control solenoid, the 3.7L does not. Earlier revisions wrongly listed it as a ranked suspect and requested an EGR position PID. [VERIFY against the service manual]",inferred,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'There is no external EGR valve on this engine'; CLAUDE.md 'Careful'
E-023,EVAP purge valve stuck partly open,suspect,"Never touched in twelve years. Reported as a very common failure on the 2009-2014 F-150, and Mustang 3.7 sources name stuck-open as THE failure mode of Ford's purge valve. Frequently sets no code. Ranked #1 suspect.",reported,2026-09-02,pre_purge_valve,"docs/f150-diagnosis.md 'Open suspects, ranked'; CLAUDE.md; [10];[27];[32]"
E-024,EVAP purge as the DRIVER of the rpm oscillation,eliminated,"Commanded evaporative purge is flat at 40.78 percent, stepping down one LSB at a time (40.78, 40.39, 40.30, 40.00) over about two minutes. A flat command cannot drive an oscillation. Re-confirmed after the valve replacement: the new valve modulates over 10-30 s while the hunt runs at 3-4 s, and five paired windows show no correlation.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Test B'; 'It is not driving the rpm hunt'; CLAUDE.md
E-025,EVAP purge valve as the source of unmetered air at idle,confirmed_fault,"Learned long term trim slope before the repair (+3.13/+2.34 percent at idle, +0.78 just above idle, 0 percent at 2000 rpm) is the signature of a fixed-size opening. Replacing the valve moved the symptom boundary (shake gone in D and R) and, after a relearning drive, idle trim read -0.78 percent on BOTH banks - the lean bias completely gone. The new valve also modulates 47.06-49.80 percent where the old one sat flat, further evidence the old one was not responding to command.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'THE LEAK IS CLOSED'; 'PURGE VALVE REPLACED'; CLAUDE.md; [206];[251];[252]
E-026,A second remaining unmetered-air source,eliminated,Argued immediately after the repair because the remaining shake sits in the highest-vacuum condition. Killed by the post-drive idle trim of -0.78 percent on both banks - there is no lean bias left for a second source to explain.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'The unmetered-air line of inquiry is finished'; [207];[251]
E-027,"PCV valve, hose, grommet and elbow",eliminated,"Ranked #2 suspect for most of the investigation - never inspected, twelve years of Jeddah heat, hard plastic that cracks. Withdrawn without ever being physically tested: after the purge valve replacement and the relearning drive there is no lean bias left at idle for it to explain.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'The unmetered-air line of inquiry is finished'; CLAUDE.md; [251]
E-028,Brake booster line and check valve,eliminated,Never tested. Withdrawn on the same evidence as PCV: idle trim -0.78 percent on both banks with relearned adaptives leaves no lean bias to explain.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'The unmetered-air line of inquiry is finished'; CLAUDE.md
E-029,"Intake manifold gasket, throttle body gasket, injector O-rings (joints disturbed by earlier work)",eliminated,"Could not be isolated by unplugging anything, which is where a smoke test would have earned its place. Withdrawn on the post-drive idle trim of -0.78 percent both banks. Noted at the time that they could not be the ORIGINAL cause anyway since the shake predates all repair work.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'The unmetered-air line of inquiry is finished'; CLAUDE.md
E-030,Smoke test of the intake tract,untested,Justification reversed twice: not warranted when LTFT read 0 percent and was believed un-learned; justified once LTFT read +2.34 at idle and 0 at load; withdrawn again after the purge valve closed the leak. Never performed.,measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'A smoke test is now justified'; 'The unmetered-air line of inquiry is finished'; [200];[251]
E-031,"Vacuum leak / unmetered air, as a family",eliminated,"Idle long term trim -0.78 percent on both banks, identical, min = avg = max across three windows, with adaptives fully relearned after a proper drive. The engine no longer runs lean at idle by any amount.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'THE LEAK IS CLOSED'; CLAUDE.md
E-032,VCT solenoid / cam phaser misbehaving at idle,suspect,"Ranked #3. Oil pressure is lowest at idle so phaser control authority is weakest exactly there, giving dilution that clears as load and pressure rise. Two things argued against it from the start: VCT faults normally set P0010-P0024 and there have been no codes, and the classic description is rough-cold-smooths-warm while this is identical cold and hot.",assumed,2026-09-02,pre_purge_valve,"docs/f150-diagnosis.md 'Open suspects, ranked'; 'Why suspect 3 was previously eliminated, and why it is back'"
E-033,VCT / cam phasers - live data at idle,eliminated,"Variable camshaft actual advance #1 reads 0.00 to -0.06 degrees, two adjacent quantisation steps on an axis spanning six hundredths of a degree. The phaser sits parked at rest. Limit acknowledged: intake bank 1 only, one of four phasers.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Test D - cam phaser'; [146]
E-034,VCT / cam phasers - Mode 06 monitor,eliminated,"VVT Monitor bank 1 error 0.06 degrees and bank 2 error 0.05 degrees against a 20 degree limit; TIDs $82, $83 and $84 all 0 degrees. The phasers track their commanded target within six hundredths of a degree. Far stronger than the live-data reading.",measured,2026-09-05,post_drive,docs/f150-diagnosis.md 'Cam phasers - essentially perfect'; CLAUDE.md; [254]
E-035,Timing chain stretch,untested,"Reported TSB method (VCT_INT_ACT1 >= +6 degrees at idle indicates a worn chain; more than 5 teeth of tensioner extension confirms with the cover off) recorded but marked [VERIFY - reported in a TSB summary, source document not read]. Never measured. Weakened by the Mode 06 VVT result.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Test procedures - VCT solenoid and phasers'; [5]
E-036,Oil pressure at hot idle below the phaser requirement,untested,"Reported requirement of at least 25 psi for phasers and tensioners, marked [VERIFY]. Mechanical gauge test never performed.",reported,2026-09-02,pre_purge_valve,docs/f150-diagnosis.md 'Test procedures - VCT solenoid and phasers'
E-037,Closed-loop fuel control as the source of the idle oscillation,eliminated,"Short-term fuel trim never leaves plus/minus 1.56 percent, quantised in 0.78 percent steps, session averages -0.92 to -0.17 percent across eight captures. If the fuel loop were hunting STFT would swing plus/minus 10-20 percent in rhythm with rpm.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'Test A'; docs/DATA-REQUESTS.md 'Already captured'
E-038,Closed-loop fuel control as the source of the idle oscillation,confirmed_fault,"REVERSAL of the row above - it was a conceptual error. STFT is the correction applied AROUND the commanded ratio, not the mixture. Fuel/Air commanded equivalence ratio is a square wave 14.41 to 14.86 AFR at 3.4-4 s, measured lambda on both banks follows it, and rpm follows the resulting torque variation. Fuel control is the SOURCE of the oscillation - though the dither itself is deliberate fore/aft catalyst control and looks normal by every measurable property.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'This corrects an earlier claim in this file'; CLAUDE.md; [173] error 10
E-039,Oxygen sensors as the cause of a slow closed-loop cycle,eliminated,"The corrections produced are far too small to move the idle 40 rpm; and the sensors have since been measured fast, clean and symmetric on both banks.",measured,2026-09-04,pre_purge_valve,docs/f150-diagnosis.md 'The oxygen sensor hypothesis is eliminated'; 'What oscillates with a period of a few seconds - SUPERSEDED'
